trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.65, 'e': 0.2952301669240142}",20,11,3.8697323069885696,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.65, 'e': 0.2922925776808594}",25,0,-44.71474732577178,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.65, 'e': 0.2893842179390506}",20,8,-1.2412170095180095,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.65, 'e': 0.2865047968601901}",30,17,24.26047355299557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.65, 'e': 0.2836540264997704}",20,0,-2.9811528577094606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.65, 'e': 0.2808316217783798}",30,12,-53.63876483171809,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
129,False,"{'a': 0.65, 'e': 0.27803730045319414}",20,9,9.086824656325966,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.65, 'e': 0.27527078308975234}",20,5,15.372288279577376,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.65, 'e': 0.2725317930340126}",30,12,-33.537555648491114,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.65, 'e': 0.2698200563846868}",20,8,0.37658693968518797,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.65, 'e': 0.26713530196585034}",35,10,-37.14861404327766,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.65, 'e': 0.26447726129982396}",30,6,-54.99037880938054,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 1}",1
135,False,"{'a': 0.65, 'e': 0.261845668580326}",30,15,-59.90449909360347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
136,False,"{'a': 0.65, 'e': 0.2592402606458915}",20,7,17.27487986799234,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.65, 'e': 0.2566607769535559}",25,0,32.058656769825326,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.65, 'e': 0.25410695955280027}",35,6,-29.725565467832155,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
139,False,"{'a': 0.65, 'e': 0.25157855305975646}",30,15,-6.835075425051731,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
